Unnamed: 0,City,Latitude,Longitude,CS,Population,Electricity Consumption
221,Râșnov,45.5910307,25.4656159,True,15022,0.8472
222,Recaș,45.8017074,21.5092923,False,8336,0.7736
223,Reghin,46.7796886,24.7000238,False,33281,0.8976
224,Reșița,45.3060825,21.885453041590992,True,73282,0.9176
225,Roman,46.9248758,26.9281768,False,50713,0.912
226,Roșiorii de Vede,44.1083489,24.9952094,False,27416,0.8887999999999999
227,Rovinari,44.8978747,23.163126,False,11816,0.824
228,Roznov,46.8388861,26.5093542,False,8593,0.7759999999999999
229,Rupea,46.0374565,25.2214705,False,5269,0.7088
230,Săcele,45.616651,25.6910299,True,30798,0.8927999999999999
231,Săcueni,47.3566688,22.0845336,False,11526,0.8215999999999999
232,Salcea,47.6505423,26.3738952,False,9015,0.7839999999999999
233,Săliște,45.7957186,23.8845754,False,5421,0.7152
234,Săliștea de Sus,47.6586223,24.351656,True,4893,0.7
235,Salonta,46.8024771,21.6594011,False,17735,0.8599999999999999
236,Sângeorgiu de Pădure,46.4314439,24.8421705,False,5166,0.708
237,Sângeorz-Băi,47.3682338,24.674172,False,9413,0.7911999999999999
238,Sânnicolau Mare,46.0711247,20.624115,False,12312,0.8288
239,Sântana,46.3465604,21.5049578,False,11428,0.82
240,Sărmașu,46.7533926,24.1600833,False,6942,0.7424
241,Satu Mare,47.7891763,22.8725598,True,6486,0.7312
242,Săveni,47.960692,26.85862602497351,False,6999,0.7447999999999999
243,Scornicești,44.6009549,24.5429136,False,11766,0.8231999999999999
244,Sebeș,45.9591058,23.5699265,True,27019,0.8872
245,Sebiș,46.3733772,22.1300245,False,5979,0.7223999999999999
246,Segarcea,44.0930481,23.7468875,False,7019,0.7455999999999999
247,Seini,47.7484996,23.2831939,False,8987,0.7831999999999999
248,Sfântu Gheorghe,45.8659935,25.7865367,True,56006,0.9136
249,Sibiu,45.7973912,24.1519202,True,4184,0.6896
250,Sighetu Marmației,47.9283242,23.8915583,True,37640,0.904
251,Sighișoara,46.2202037,24.7934483,True,28102,0.8904
252,Simeria,45.8475432,23.0162168,True,12556,0.8303999999999999
253,Șimleu Silvaniei,47.2305359,22.7933051,False,14436,0.8448
254,Sinaia,45.345508,25.5479816,True,10410,0.8064
255,Siret,47.9517661,26.0693866,False,7976,0.7704
